Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-01-20T22:31:18.683;790698654586665216;-242092;-242496;-302236;-472657;
2025-01-20T22:31:18.701;790698654604852992;-242061;-242448;-302182;-472777;
2025-01-20T22:31:18.719;790698654623040768;-241940;-242222;-302014;-472733;
2025-01-20T22:31:18.737;790698654641228544;-241849;-242134;-301961;-472738;
2025-01-20T22:31:18.755;790698654659416320;-241749;-242058;-301892;-472745;
2025-01-20T22:31:18.774;790698654677604096;-241661;-242012;-301912;-472771;
2025-01-20T22:31:18.792;790698654695791872;-241562;-241975;-301807;-472742;
2025-01-20T22:31:18.810;790698654713979648;-241420;-241870;-301674;-472744;
2025-01-20T22:31:18.828;790698654732167424;-241325;-241786;-301585;-472773;
2025-01-20T22:31:18.846;790698654750355200;-241200;-241678;-301487;-472766;
2025-01-20T22:31:18.864;790698654768542976;-241088;-241439;-301301;-472747;
2025-01-20T22:31:18.883;790698654786730752;-240874;-241239;-301128;-472747;
2025-01-20T22:31:18.901;790698654804918528;-240764;-241090;-301033;-472724;
2025-01-20T22:31:18.919;790698654823106304;-240735;-241056;-301022;-472758;
2025-01-20T22:31:18.937;790698654841294080;-240772;-241131;-301186;-472743;
2025-01-20T22:31:18.955;790698654859481856;-241057;-241391;-301488;-472759;
2025-01-20T22:31:18.974;790698654877669632;-241423;-241715;-301886;-472734;
2025-01-20T22:31:18.992;790698654895857408;-241717;-242023;-302232;-472678;
2025-01-20T22:31:19.010;790698654914045312;-242006;-242365;-302467;-472754;
2025-01-20T22:31:19.028;790698654932233088;-242232;-242546;-302636;-472738;
2025-01-20T22:31:19.046;790698654950420864;-242386;-242679;-302737;-472761;
2025-01-20T22:31:19.065;790698654968608640;-242399;-242722;-302796;-472717;
2025-01-20T22:31:19.083;790698654986796416;-242461;-242781;-302768;-472730;
2025-01-20T22:31:19.101;790698655004984192;-242377;-242719;-302700;-472757;
2025-01-20T22:31:19.119;790698655023171968;-242270;-242538;-302582;-472739;
2025-01-20T22:31:19.137;790698655041359744;-242127;-242376;-302377;-472704;
2025-01-20T22:31:19.156;790698655059547520;-242028;-242239;-302287;-472738;
2025-01-20T22:31:19.174;790698655077735296;-241916;-242086;-302136;-472757;
2025-01-20T22:31:19.192;790698655095923072;-241789;-241954;-302092;-472779;
2025-01-20T22:31:19.210;790698655114110848;-241705;-241915;-302011;-472790;
2025-01-20T22:31:19.228;790698655132298624;-241551;-241791;-301903;-472714;
2025-01-20T22:31:19.246;790698655150486436;-241534;-241750;-301909;-472738;
2025-01-20T22:31:19.265;790698655168675328;-241430;-241679;-301771;-472723;
2025-01-20T22:31:19.283;790698655186864256;-241370;-241567;-301648;-472689;
2025-01-20T22:31:19.301;790698655205053184;-241213;-241438;-301494;-472705;
2025-01-20T22:31:19.319;790698655223242112;-241066;-241311;-301453;-472748;
2025-01-20T22:31:19.337;790698655241431168;-240900;-241190;-301272;-472729;
2025-01-20T22:31:19.356;790698655259620096;-240786;-241025;-301099;-472707;
2025-01-20T22:31:19.374;790698655277809024;-240609;-240816;-300972;-472764;
2025-01-20T22:31:19.392;790698655295997952;-240543;-240785;-300971;-472744;
2025-01-20T22:31:19.410;790698655314186880;-240637;-240891;-301130;-472794;
2025-01-20T22:31:19.428;790698655332375808;-240846;-241137;-301437;-472772;
2025-01-20T22:31:19.447;790698655350564736;-241172;-241466;-301809;-472761;
2025-01-20T22:31:19.465;790698655368753792;-241570;-241808;-302102;-472765;
2025-01-20T22:31:19.483;790698655386942720;-241824;-242058;-302374;-472734;
2025-01-20T22:31:19.501;790698655405131648;-242099;-242298;-302610;-472753;
2025-01-20T22:31:19.519;790698655423320576;-242207;-242450;-302659;-472747;
2025-01-20T22:31:19.537;790698655441509504;-242297;-242534;-302732;-472798;
2025-01-20T22:31:19.556;790698655459698432;-242235;-242520;-302619;-472731;
2025-01-20T22:31:19.574;790698655477887360;-242183;-242433;-302597;-472742;
2025-01-20T22:31:19.592;790698655496076416;-242038;-242384;-302478;-472711;
2025-01-20T22:31:19.610;790698655514265344;-241953;-242157;-302403;-472761;
2025-01-20T22:31:19.628;790698655532454272;-241750;-242048;-302229;-472717;
2025-01-20T22:31:19.647;790698655550643200;-241660;-241960;-302091;-472736;
2025-01-20T22:31:19.665;790698655568832128;-241509;-241739;-301935;-472734;
2025-01-20T22:31:19.683;790698655587021056;-241332;-241547;-301785;-472679;
2025-01-20T22:31:19.701;790698655605209984;-241322;-241505;-301744;-472747;
2025-01-20T22:31:19.719;790698655623399040;-241202;-241446;-301583;-472765;
2025-01-20T22:31:19.738;790698655641587968;-241128;-241363;-301523;-472737;
2025-01-20T22:31:19.756;790698655659776896;-240917;-241296;-301357;-472730;
2025-01-20T22:31:19.774;790698655677965824;-240776;-241133;-301296;-472713;
2025-01-20T22:31:19.792;790698655696154752;-240730;-241040;-301246;-472734;
2025-01-20T22:31:19.810;790698655714343680;-240616;-240851;-301113;-472761;
2025-01-20T22:31:19.828;790698655732532608;-240369;-240711;-300926;-472723;
2025-01-20T22:31:19.847;790698655750721664;-240191;-240483;-300731;-472681;
2025-01-20T22:31:19.865;790698655768910592;-240090;-240381;-300631;-472704;
2025-01-20T22:31:19.883;790698655787099520;-240090;-240452;-300769;-472763;
2025-01-20T22:31:19.901;790698655805288448;-240244;-240628;-300959;-472705;
2025-01-20T22:31:19.919;790698655823477376;-240496;-240915;-301282;-472709;
2025-01-20T22:31:19.938;790698655841666304;-240858;-241292;-301619;-472729;
2025-01-20T22:31:19.956;790698655859855232;-241083;-241580;-301885;-472674;
2025-01-20T22:31:19.974;790698655878044288;-241264;-241754;-302081;-472695;
2025-01-20T22:31:19.992;790698655896233216;-241415;-241960;-302248;-472727;
2025-01-20T22:31:20.010;790698655914422180;-241499;-242068;-302342;-472770;
2025-01-20T22:31:20.029;790698655932610816;-241493;-241942;-302256;-472743;
2025-01-20T22:31:20.047;790698655950799488;-241400;-241890;-302205;-472722;
2025-01-20T22:31:20.065;790698655968988288;-241325;-241824;-302091;-472771;
2025-01-20T22:31:20.083;790698655987176960;-241145;-241603;-301941;-472757;
2025-01-20T22:31:20.101;790698656005365760;-241005;-241498;-301746;-472712;
2025-01-20T22:31:20.120;790698656023554432;-240909;-241406;-301663;-472765;
2025-01-20T22:31:20.138;790698656041743232;-240749;-241330;-301524;-472766;
2025-01-20T22:31:20.156;790698656059931904;-240618;-241141;-301420;-472768;
2025-01-20T22:31:20.174;790698656078120704;-240503;-241021;-301302;-472719;
